region,categorie_vehicule,agglomeration,atmosphere,luminosite,etat_surface,intersection,place,disposition_securite,gravite,motif_deplacement,type_collision,mois,semaine,jour,heure,age
76,3,1,4,1,4,3,1,1,1,2,1,1,1,6,7,85
84,1,1,2,3,2,1,1,1,1,1,1,1,4,2,5,54
75,3,1,4,3,4,1,1,1,1,2,1,1,4,5,23,67
76,1,1,8,2,3,1,1,1,1,1,1,2,8,1,11,75
75,3,1,4,3,4,1,1,1,1,2,1,1,4,5,21,49
24,3,1,4,2,4,5,1,3,1,2,1,2,7,6,15,90
44,3,1,5,1,1,1,1,1,1,3,1,1,2,3,7,50
44,2,1,5,1,1,1,1,1,1,3,1,1,2,3,7,70
44,3,1,4,2,4,4,1,1,1,6,1,1,4,3,16,100
44,3,1,4,2,4,4,3,1,1,6,1,1,4,3,16,27
44,3,1,8,1,3,1,1,1,1,2,1,2,5,5,18,44
84,2,1,4,1,3,1,1,3,1,1,1,2,6,4,7,52
44,3,1,8,3,3,1,1,1,1,3,1,1,1,5,17,40
28,3,1,2,2,2,1,1,1,1,1,1,2,5,1,11,51
75,3,1,4,2,4,1,1,1,1,2,1,2,8,5,11,78
84,3,1,5,3,5,1,1,1,1,2,1,1,1,4,0,47
84,3,1,5,3,5,1,1,1,1,2,1,1,1,4,0,64
84,5,1,4,2,4,1,1,1,1,1,1,3,11,1,7,38
84,3,1,4,2,4,1,1,3,1,2,1,3,11,5,17,41
84,3,1,4,2,4,1,1,1,1,2,1,3,11,5,17,85
75,3,1,4,3,4,1,1,1,1,2,1,3,10,3,19,36
75,7,1,7,2,6,1,1,2,1,1,1,2,5,5,17,54
75,3,1,4,2,4,1,1,1,1,6,1,2,6,5,14,36
44,3,1,2,3,3,1,1,1,1,2,1,1,2,7,18,43
84,3,1,2,3,2,1,1,1,1,3,1,2,6,4,18,57
84,3,1,4,2,4,1,1,1,1,2,1,2,8,6,15,33
76,3,1,4,2,4,1,1,1,1,2,1,2,8,6,16,64
44,2,1,4,1,4,1,1,1,1,3,1,2,6,1,7,49
27,3,1,5,3,1,1,1,1,1,2,1,1,2,7,21,58
27,3,1,5,3,1,1,1,1,1,2,1,1,2,7,21,37
27,5,1,5,2,5,1,1,1,1,3,1,1,4,1,14,73
27,3,1,7,3,3,1,1,1,1,3,1,1,2,3,20,66
76,3,1,4,3,4,1,1,1,1,3,1,1,4,2,18,41
76,3,1,6,2,4,1,1,1,1,2,1,1,1,7,15,85
76,3,1,4,3,4,1,1,4,1,2,1,1,4,3,19,37
76,3,1,4,2,4,6,1,1,1,2,1,1,1,7,8,63
76,3,1,4,2,4,1,1,1,1,2,1,1,0,7,16,62
44,3,1,7,2,3,1,1,1,1,2,1,2,5,1,12,75
44,3,1,7,2,3,1,2,1,1,3,1,2,5,1,12,50
76,3,1,4,4,4,4,1,1,1,2,1,1,2,5,19,70
53,8,1,4,3,4,1,1,1,1,1,1,1,1,3,6,39
53,3,1,4,1,4,1,1,1,1,2,1,1,4,5,18,70
53,3,1,7,2,1,1,1,1,1,2,1,1,1,1,10,72
53,2,1,7,2,1,1,1,1,1,1,1,1,1,1,10,41
52,2,1,4,3,4,1,1,1,1,1,1,2,7,7,6,50
52,9,1,4,2,4,1,1,1,1,1,1,2,7,6,18,55
53,8,1,4,2,4,1,1,1,1,1,1,2,8,3,16,64
75,3,1,4,4,4,1,1,1,1,5,1,1,4,6,19,58
75,3,1,4,2,4,4,1,1,1,2,1,2,8,3,16,39
52,2,1,4,2,4,1,1,1,1,1,1,3,13,2,14,64
76,3,1,4,2,4,1,1,1,1,3,1,3,12,1,18,60
44,5,1,8,2,1,1,1,1,1,1,1,1,1,5,9,67
44,10,1,4,2,4,1,1,1,1,1,1,2,8,3,17,40
44,10,1,4,2,4,1,2,1,1,1,1,2,8,3,17,38
44,3,1,2,1,2,1,1,1,1,3,1,2,6,4,7,37
44,3,1,7,3,3,1,5,4,1,2,1,3,10,2,19,17
44,3,1,7,3,3,1,4,1,1,2,1,3,10,2,19,40
44,3,1,7,3,3,1,2,1,1,2,1,3,10,2,19,42
44,3,1,7,3,3,1,5,1,1,2,1,3,10,2,19,38
44,3,1,7,3,3,1,5,1,1,2,1,3,10,2,19,41
44,2,1,7,3,3,1,1,1,1,1,1,3,10,2,19,62
44,3,1,4,2,4,1,1,1,1,3,1,3,12,1,18,64
44,3,1,4,2,4,1,1,1,1,6,1,3,11,4,18,44
44,3,1,4,3,4,1,1,1,1,2,1,3,10,1,20,48
32,3,1,4,3,4,1,1,1,1,2,1,3,9,6,3,34
75,3,1,7,3,3,1,1,1,1,2,1,3,9,7,20,36
93,3,1,4,3,4,1,1,1,1,2,1,3,9,6,19,44
75,8,1,4,2,4,4,1,1,1,1,1,1,0,5,10,43
75,3,1,4,3,4,1,1,1,1,2,1,1,1,6,18,75
76,2,1,4,2,4,1,1,1,1,1,1,2,6,1,14,40
76,3,1,4,2,4,1,1,1,1,3,1,2,7,7,15,71
76,3,1,4,2,4,1,1,1,1,2,1,2,8,6,17,36
44,1,1,4,1,4,1,1,1,1,1,1,3,12,4,7,59
44,3,1,4,2,4,1,1,1,1,2,1,3,11,7,15,38
76,3,1,4,4,4,1,1,1,1,3,1,2,7,5,19,43
32,3,1,4,2,4,1,2,1,1,2,1,3,8,7,11,50
32,3,1,4,2,4,1,1,1,1,2,1,3,8,7,11,63
32,5,1,7,2,3,2,1,1,1,1,1,3,12,3,9,61
76,3,1,2,2,3,1,1,1,1,2,1,3,12,6,13,35
52,3,1,4,2,4,1,1,1,1,1,1,2,5,4,15,51
52,3,1,4,3,4,1,1,1,1,2,1,3,9,7,19,39
52,3,1,4,2,4,1,3,1,1,2,1,3,10,1,16,22
52,3,1,4,2,4,1,1,1,1,2,1,3,10,1,16,54
52,5,1,4,2,4,1,1,1,1,1,1,4,15,5,17,55
52,3,1,4,3,4,1,1,1,1,2,1,4,16,7,5,53
52,3,1,4,3,4,1,1,1,1,3,1,4,16,7,5,56
44,8,1,1,2,4,1,1,1,1,1,1,1,4,3,10,58
44,3,1,1,2,4,1,2,1,1,5,1,1,4,3,10,87
75,3,1,7,2,3,2,1,1,1,2,1,1,3,5,9,90
76,3,1,4,2,4,4,1,1,1,2,1,2,6,7,15,57
76,3,1,4,2,4,4,1,1,1,2,1,2,6,7,15,41
52,1,1,9,2,4,1,1,1,1,1,1,3,12,5,14,46
52,3,1,4,2,4,1,1,1,1,1,1,3,11,3,17,41
27,3,1,1,2,4,1,1,1,1,1,1,1,2,4,10,52
27,1,1,4,2,4,1,1,1,1,1,1,3,11,4,18,61
27,3,1,4,3,4,1,1,1,1,3,1,3,12,3,20,49
27,3,1,4,2,4,1,1,1,1,4,1,1,2,4,16,37
27,4,1,4,2,4,1,1,4,1,1,1,1,2,4,16,42
75,5,1,4,3,4,1,1,1,1,1,1,3,10,5,6,52
75,3,1,3,2,3,1,1,1,1,6,1,3,12,6,13,46
75,3,1,4,2,4,1,1,1,1,1,1,2,7,2,8,52
76,1,1,4,2,4,1,1,1,1,1,1,3,10,5,14,74
76,3,1,8,2,6,1,1,1,1,2,1,3,12,6,13,40
32,3,1,8,2,4,2,1,3,1,6,1,1,1,1,15,44
32,3,1,4,2,4,4,1,1,1,3,1,1,4,4,16,37
32,3,1,4,4,4,1,1,3,1,6,1,2,6,5,18,65
32,3,1,4,2,4,1,1,3,1,6,1,2,5,4,16,41
75,3,1,3,2,3,1,1,1,1,2,1,4,17,3,13,81
75,3,1,4,2,4,1,1,1,1,2,1,4,17,3,19,49
75,3,1,4,2,4,1,1,1,1,2,1,4,17,3,19,50
28,1,1,7,1,3,1,1,1,1,1,1,2,6,5,8,61
84,2,1,4,3,4,6,1,1,1,2,1,1,2,5,19,39
84,3,1,4,3,4,1,1,1,1,3,1,1,4,2,20,80
84,8,1,3,3,3,1,1,1,1,1,1,2,5,4,19,60
52,3,1,4,3,4,1,1,1,1,2,1,4,15,6,21,47
76,3,1,4,2,4,1,1,1,1,5,1,4,13,4,12,55
76,2,1,1,2,3,1,1,1,1,1,1,1,4,4,9,51
76,3,1,4,2,4,1,1,1,1,2,1,4,16,3,14,85
75,3,1,4,3,4,2,1,1,1,2,1,4,16,5,0,41
75,3,1,7,2,3,1,1,1,1,4,1,4,17,4,17,33
75,3,1,7,2,3,1,4,1,1,4,1,4,17,4,17,31
75,3,1,7,2,3,1,2,1,1,4,1,4,17,4,17,33
84,3,1,4,2,4,7,1,1,1,3,1,2,7,1,8,41
84,2,1,6,2,4,1,1,1,1,3,1,2,6,5,16,40
84,3,1,2,2,1,1,1,1,1,2,1,2,7,7,16,35
84,1,1,4,2,4,1,1,1,1,1,1,3,11,2,11,52
84,3,1,4,2,4,1,1,1,1,3,1,3,11,3,17,46
75,3,1,4,3,4,1,1,1,1,2,1,3,8,7,20,40
75,1,1,4,2,4,1,1,1,1,1,1,3,11,1,15,54
44,2,1,4,2,4,1,1,1,1,1,1,4,14,1,13,35
44,3,1,4,2,4,1,1,1,1,2,1,4,15,7,15,90
11,3,1,6,2,4,1,1,1,1,5,1,2,8,6,13,36
52,1,2,4,2,4,3,1,1,1,2,1,1,3,5,14,76
11,11,2,4,2,4,2,1,3,1,1,1,1,4,2,13,43
11,12,2,4,4,3,1,1,2,1,2,1,1,0,4,18,45
11,11,2,4,2,4,1,1,1,1,1,1,1,1,7,9,48
11,3,2,4,2,4,1,1,3,1,2,1,1,1,6,9,47
11,3,2,4,4,4,2,1,1,1,3,1,1,1,7,21,66
11,3,2,4,2,4,2,1,1,1,3,1,1,1,5,16,57
11,3,2,5,2,5,7,1,1,1,3,1,2,5,3,8,64
11,3,2,8,2,3,4,1,1,1,1,1,2,5,4,14,52
76,3,2,4,2,4,1,1,1,1,2,1,1,3,3,7,83
53,3,2,4,4,4,2,1,1,1,2,1,1,4,5,22,43
53,3,2,4,1,4,1,1,1,1,2,1,1,3,6,19,94
52,3,2,4,4,4,1,1,1,1,2,1,1,1,6,18,75
24,3,2,4,1,1,1,1,1,1,1,1,1,2,4,8,60
24,3,2,4,1,1,1,1,3,1,1,1,1,2,4,8,68
11,3,2,4,2,4,7,1,3,1,2,1,3,9,5,12,56
11,3,2,4,2,4,1,1,1,1,2,1,3,13,2,16,58
32,3,2,4,4,3,1,1,1,1,3,1,1,3,2,20,57
24,3,2,2,4,2,1,1,1,1,3,1,1,1,6,17,34
24,3,2,2,4,2,1,1,1,1,2,1,1,1,6,17,51
24,3,2,4,4,4,1,1,1,1,2,1,1,0,5,17,94
44,3,2,4,2,4,2,1,1,1,5,1,1,1,6,9,53
44,3,2,5,4,1,1,1,1,1,2,1,1,1,3,22,33
44,2,2,4,4,4,4,1,1,1,3,1,1,1,5,18,61
44,11,2,4,2,4,1,1,3,1,1,1,1,4,1,13,56
53,3,2,4,4,4,1,1,1,1,2,1,1,4,6,22,35
53,3,2,4,4,4,2,1,1,1,2,1,1,0,4,20,46
53,3,2,4,4,4,2,1,1,1,2,1,1,0,4,20,48
52,11,2,4,2,4,1,1,1,1,1,1,2,5,5,14,73
11,11,2,7,2,3,1,1,3,1,1,1,4,14,2,9,43
11,3,2,4,4,4,2,1,3,1,1,1,4,14,2,20,45
11,3,2,7,4,3,1,1,1,1,6,1,4,14,6,21,63
11,2,2,4,4,4,1,1,1,1,1,1,4,16,5,1,60
11,3,2,4,2,4,2,1,1,1,2,1,4,17,4,18,41
76,3,2,4,2,4,1,1,1,1,2,1,2,6,5,14,42
76,3,2,4,4,4,1,1,3,1,2,1,2,6,3,20,59
76,3,2,4,3,4,2,1,1,1,2,1,2,8,5,19,59
93,3,2,4,2,4,1,1,4,1,2,1,1,3,6,14,33
93,3,2,4,2,3,1,1,3,1,3,1,1,3,2,8,49
93,11,2,7,2,3,1,1,3,1,1,1,1,3,5,13,65
75,3,2,7,3,3,1,1,1,1,3,1,1,3,4,8,49
75,3,2,4,4,4,1,1,1,1,6,1,1,0,5,20,49
75,3,2,4,2,4,1,1,1,1,6,1,1,2,2,11,68
75,3,2,4,4,4,1,1,1,1,2,1,1,0,4,4,35
75,3,2,4,4,4,1,1,1,1,2,1,1,2,4,19,56
75,3,2,4,4,4,1,1,1,1,2,1,1,3,6,18,63
75,1,2,4,4,4,1,1,1,1,1,1,1,3,2,1,39
75,3,2,4,2,4,1,1,1,1,2,1,2,5,5,15,37
44,2,2,4,2,4,1,1,1,1,1,1,2,8,3,11,53
44,2,2,7,4,3,2,1,1,1,1,1,1,0,5,19,50
44,3,2,4,2,4,2,1,1,1,2,1,1,3,7,14,75
44,13,2,4,4,5,8,1,5,1,1,1,1,4,3,6,51
44,3,2,8,1,4,4,2,5,1,5,1,1,2,5,17,37
44,3,2,8,1,4,4,1,1,1,5,1,1,2,5,17,37
28,3,2,4,2,4,1,1,1,1,5,1,2,8,6,14,32
28,3,2,2,2,1,1,1,1,1,6,1,2,5,1,10,53
75,3,2,4,4,4,2,1,1,1,2,1,2,6,5,20,75
75,3,2,4,4,4,1,1,1,1,2,1,2,8,4,20,50
84,3,2,8,4,1,1,1,1,1,2,1,1,1,5,18,43
84,3,2,4,4,4,2,1,1,1,2,1,2,6,6,20,57
84,3,2,4,2,4,9,1,1,1,2,1,2,8,5,18,75
44,2,2,2,2,2,1,1,1,1,1,1,2,5,2,12,49
28,3,2,4,2,4,4,1,4,1,2,1,3,10,3,10,70
28,1,2,4,2,4,1,1,1,1,1,1,3,11,2,18,58
11,3,2,4,4,4,4,1,1,1,2,1,1,0,7,8,57
11,3,2,2,4,2,1,1,3,1,2,1,1,0,7,1,61
11,3,2,8,2,4,1,1,1,1,2,1,1,2,1,15,73
11,2,2,8,2,4,1,1,1,1,2,1,1,2,1,15,59
11,3,2,4,1,4,2,1,1,1,2,1,1,4,4,7,64
76,3,2,4,2,4,1,1,1,1,2,1,1,1,2,17,91
76,3,2,4,2,4,1,1,1,1,2,1,1,0,7,16,34
76,3,2,7,4,3,5,1,1,1,2,1,1,1,5,22,34
76,3,2,7,4,3,5,1,1,1,2,1,1,1,5,22,56
76,6,2,4,2,4,1,2,2,1,2,1,1,4,3,16,38
52,3,1,4,2,4,1,1,1,4,2,1,1,4,5,11,85
32,3,1,8,2,1,1,1,1,4,3,1,1,3,2,12,48
52,7,1,4,3,4,1,1,2,4,3,1,2,7,5,21,47
76,14,1,4,3,4,1,1,2,4,3,1,2,8,3,20,77
93,3,1,4,3,3,1,1,1,4,3,1,1,2,6,5,38
75,3,1,5,2,1,1,1,1,4,6,1,1,2,1,9,68
75,3,1,4,2,4,1,1,1,4,2,1,1,4,3,15,54
44,15,1,4,2,5,1,1,2,4,4,1,2,7,4,7,35
75,3,1,4,3,4,1,1,1,4,2,1,2,6,5,20,75
84,2,1,4,1,4,1,1,4,4,6,1,1,1,6,7,35
84,3,1,4,2,4,1,1,1,4,4,1,3,11,1,7,36
75,3,1,7,3,3,1,1,3,4,3,1,2,5,3,7,35
44,6,1,2,3,3,1,1,2,4,2,1,1,2,7,18,32
84,3,1,4,2,4,1,1,1,4,6,1,2,8,6,15,83
44,3,1,4,3,3,1,1,3,4,2,1,2,7,7,19,34
44,3,1,4,3,4,1,1,4,4,2,1,2,8,2,18,38
28,3,1,7,2,3,1,1,3,4,6,1,3,12,4,15,34
27,2,1,5,3,3,1,1,1,4,2,1,1,2,7,19,34
76,3,1,4,2,4,6,1,1,4,5,1,1,3,2,16,53
76,3,1,4,2,4,1,1,1,4,3,1,1,3,1,9,35
53,7,1,4,3,4,1,1,2,4,3,1,1,1,3,6,36
53,3,1,5,2,1,1,1,1,4,3,1,1,4,1,8,54
53,3,1,4,3,4,1,1,1,4,2,1,1,1,6,20,33
52,3,1,4,3,4,1,1,1,4,3,1,2,5,7,6,34
52,15,1,4,3,4,1,1,2,4,2,1,2,7,7,6,29
52,7,1,4,2,4,1,1,2,4,2,1,2,7,6,18,53
53,16,1,4,2,4,1,1,1,4,2,1,2,8,3,16,71
24,3,1,4,2,4,1,1,1,4,5,1,2,7,3,11,109
76,3,1,4,2,6,1,1,1,4,2,1,3,8,7,16,35
93,15,1,4,3,4,1,1,2,4,2,1,3,9,2,20,31
75,3,1,4,2,4,4,1,1,4,2,1,1,0,5,10,97
44,3,1,4,1,4,1,1,1,4,3,1,3,12,4,7,80
52,7,1,4,2,4,1,1,2,4,6,1,4,15,5,17,54
24,3,1,4,1,1,1,1,1,4,4,1,2,5,2,8,34
52,7,1,9,2,4,1,1,2,4,2,1,3,12,5,14,55
27,3,1,7,1,3,1,1,3,4,4,1,3,9,7,18,36
44,3,1,4,2,4,1,1,1,4,2,1,4,14,6,15,73
44,3,1,4,2,4,1,1,1,4,2,1,4,14,6,15,91
75,3,1,4,3,4,1,1,1,4,3,1,3,10,5,6,40
84,3,1,4,2,4,1,1,1,4,4,1,3,11,2,11,47
44,3,1,4,2,4,1,1,1,4,2,1,4,14,1,13,83
76,3,2,4,4,4,1,1,4,4,2,1,2,7,6,19,46
52,3,1,1,1,1,1,1,1,3,6,1,1,2,3,8,53
52,1,1,4,2,4,1,1,1,3,1,1,1,4,5,11,44
84,3,1,2,2,2,1,1,1,3,5,1,1,1,2,17,57
76,3,1,4,2,4,1,1,1,3,1,1,1,4,5,14,60
76,3,1,3,3,3,1,1,1,3,2,1,1,4,6,20,38
76,3,1,4,3,4,1,1,1,3,2,1,1,2,5,23,58
75,15,1,4,2,4,2,1,2,3,2,1,2,7,3,17,29
53,3,1,4,2,4,7,1,1,3,1,1,1,4,5,10,58
53,3,1,4,2,1,1,1,1,3,3,1,1,3,3,9,48
53,15,1,4,2,4,3,1,2,3,2,1,1,3,4,13,42
53,3,1,5,2,1,1,1,1,3,2,1,1,0,5,14,44
52,3,1,4,3,4,1,1,1,3,3,1,1,1,6,5,59
52,3,1,4,3,4,1,1,1,3,3,1,1,1,6,5,56
75,3,1,4,2,4,1,1,1,3,2,1,1,2,1,14,68
75,3,1,4,2,4,1,1,1,3,2,1,1,2,1,14,58
75,3,1,2,3,2,1,1,1,3,1,1,1,1,2,18,59
28,3,1,2,1,1,1,1,1,3,6,1,1,1,3,8,69
28,3,1,2,2,2,1,1,1,3,6,1,1,1,5,16,36
28,17,1,5,3,4,1,1,1,3,3,1,1,1,5,20,33
28,3,1,4,2,4,1,1,1,3,2,1,1,1,7,12,73
28,6,1,4,3,4,4,1,2,3,3,1,1,3,3,18,33
76,3,1,6,2,1,1,1,1,3,2,1,1,2,1,14,74
27,3,1,4,3,3,1,1,1,3,2,1,1,2,4,21,38
27,3,1,4,3,3,1,1,1,3,2,1,1,2,4,21,82
24,3,1,2,3,2,1,1,1,3,3,1,1,1,1,18,57
24,3,1,5,2,1,1,1,1,3,1,1,1,2,4,8,50
32,3,1,8,2,1,1,1,1,3,3,1,1,3,2,12,64
32,3,1,2,2,2,1,1,1,3,2,1,1,1,1,12,74
76,3,1,4,3,4,1,1,1,3,2,1,1,2,7,21,61
44,3,1,4,2,5,4,1,1,3,3,1,1,1,5,17,61
44,3,1,4,2,5,4,1,4,3,6,1,1,1,5,17,76
44,3,1,5,2,1,1,1,1,3,2,1,1,1,1,14,49
44,2,1,4,2,4,1,1,1,3,3,1,1,2,1,17,51
44,3,1,4,2,4,1,1,1,3,6,1,1,4,5,14,92
44,3,1,4,2,4,1,1,1,3,2,1,1,1,6,14,60
44,3,1,5,3,1,1,1,6,3,3,1,1,3,2,6,75
28,3,1,4,3,4,1,1,1,3,2,1,1,1,5,19,35
28,3,1,4,3,4,1,1,1,3,3,1,1,1,5,19,40
28,2,1,5,1,1,1,1,1,3,3,1,1,2,3,6,72
28,3,1,7,2,3,1,1,1,3,2,1,1,2,2,13,92
53,3,1,1,1,4,1,1,1,3,4,1,1,2,4,8,36
53,3,1,4,2,3,2,1,1,3,5,1,1,2,6,10,34
53,3,1,4,2,3,2,1,1,3,5,1,1,2,6,10,81
53,6,1,1,1,1,1,1,2,3,4,1,1,2,3,9,31
53,3,1,4,2,3,1,1,1,3,5,1,1,4,1,11,60
53,3,1,5,2,1,1,1,1,3,3,1,1,1,1,9,39
53,3,1,5,2,1,1,1,1,3,6,1,1,1,1,9,44
52,3,1,2,2,2,1,1,1,3,2,1,1,1,1,15,71
52,3,1,2,3,1,1,1,1,3,3,1,1,1,3,20,55
52,3,1,2,3,1,1,1,1,3,4,1,1,1,3,20,41
52,3,1,5,3,1,1,1,1,3,3,1,1,2,1,7,38
52,3,1,5,3,1,1,1,1,3,3,1,1,2,1,7,75
52,3,1,6,2,3,1,1,1,3,6,1,1,3,5,10,35
52,7,1,4,2,4,1,1,2,3,2,1,2,8,6,10,49
52,3,1,4,3,4,1,2,1,3,2,1,2,5,5,19,91
52,3,1,4,3,4,1,1,1,3,2,1,2,5,5,19,93
52,3,1,4,3,4,1,2,1,3,2,1,2,5,5,19,61
52,3,1,4,3,4,1,3,1,3,2,1,2,5,5,19,22
52,3,1,4,3,4,1,4,1,3,2,1,2,5,5,19,20
76,18,1,4,2,4,1,1,2,3,2,1,1,3,4,10,88
76,3,1,4,2,4,1,1,1,3,2,1,1,3,7,11,53
76,3,1,4,3,4,1,1,1,3,2,1,1,0,7,4,69
76,1,1,4,1,4,3,1,1,3,2,1,1,1,6,7,82
76,3,1,4,3,4,1,1,1,3,2,1,2,8,5,19,40
76,3,1,4,3,4,1,1,1,3,3,1,2,8,5,19,35
93,3,1,4,2,3,1,1,1,3,6,1,1,2,1,15,98
75,3,1,4,3,4,1,1,1,3,2,1,1,4,5,23,79
75,3,1,4,2,4,1,1,1,3,2,1,1,4,3,15,92
76,3,1,8,2,3,1,1,1,3,2,1,2,8,1,11,54
75,3,1,4,3,4,1,1,1,3,2,1,1,4,5,21,68
24,7,1,4,2,4,5,1,2,3,2,1,2,7,6,15,37
75,3,1,4,2,4,1,1,1,3,4,1,1,2,5,11,63
75,3,1,4,2,4,1,1,3,3,6,1,1,2,7,9,30
44,3,1,4,2,5,1,1,1,3,3,1,2,7,4,7,38
44,3,1,5,1,1,1,1,1,3,4,1,2,5,4,7,56
44,3,1,5,1,1,1,1,1,3,4,1,2,5,4,7,37
44,3,1,4,3,3,1,1,3,3,2,1,2,4,7,19,48
44,3,1,4,3,3,1,1,1,3,2,1,2,4,7,19,36
44,3,1,8,1,3,1,1,1,3,3,1,2,5,5,18,64
44,15,1,4,2,3,1,1,2,3,2,1,2,8,2,13,36
44,3,1,8,2,3,1,1,1,3,2,1,2,8,5,7,66
44,3,1,8,2,3,1,1,1,3,3,1,2,8,5,7,37
84,3,1,1,2,3,2,1,1,3,2,1,2,7,2,14,86
44,3,1,8,3,3,1,1,1,3,3,1,1,1,5,17,40
44,19,1,8,3,3,1,1,2,3,6,1,1,3,5,20,37
28,3,1,2,2,2,1,1,1,3,2,1,2,5,1,11,58
75,3,1,4,3,4,1,1,1,3,3,1,2,6,5,20,42
75,7,1,4,2,4,1,1,2,3,2,1,2,8,5,11,38
84,2,1,4,1,4,1,1,1,3,2,1,1,1,6,7,65
75,3,1,4,3,4,1,1,1,3,2,1,3,10,3,19,50
75,7,1,7,2,6,1,1,2,3,1,1,2,5,5,17,64
75,3,1,7,3,3,1,1,1,3,4,1,2,5,3,7,58
75,3,1,4,2,4,1,1,1,3,6,1,2,6,5,14,70
44,3,1,4,2,4,1,1,1,3,5,1,1,2,4,16,48
32,3,1,4,2,4,1,1,1,3,2,1,2,4,7,10,81
32,3,1,4,2,4,1,1,1,3,3,1,2,4,7,10,61
84,3,1,2,2,2,1,1,1,3,2,1,2,6,4,8,80
44,3,1,4,3,4,1,1,1,3,6,1,2,6,2,19,95
76,7,1,4,2,4,1,1,2,3,2,1,2,8,6,16,55
76,3,1,4,2,4,1,1,1,3,2,1,2,5,3,17,88
76,3,1,4,2,4,1,1,1,3,6,1,3,10,7,18,69
44,3,1,4,3,3,1,1,1,3,2,1,2,7,7,19,70
44,3,1,4,3,3,1,2,1,3,2,1,2,7,7,19,33
44,3,1,4,3,3,1,5,1,3,2,1,2,7,7,19,32
44,3,1,4,1,4,1,1,1,3,6,1,2,6,1,7,59
75,3,1,8,3,3,1,1,1,3,2,1,2,5,6,19,58
75,3,1,8,3,3,1,1,1,3,2,1,2,5,6,19,42
28,5,1,7,2,3,1,1,1,3,3,1,3,12,4,15,56
27,3,1,5,1,1,1,1,1,3,3,1,1,1,4,7,66
27,3,1,5,2,5,1,1,1,3,6,1,1,4,1,14,56
27,3,1,7,3,3,1,1,1,3,2,1,1,2,3,20,74
27,3,1,5,1,1,1,1,1,3,3,1,1,2,5,8,34
27,3,1,5,1,1,1,1,1,3,3,1,1,2,5,8,43
76,3,1,4,3,4,1,1,4,3,3,1,1,4,2,18,64
76,3,1,4,3,4,1,1,1,3,3,1,1,3,5,19,53
76,3,1,4,2,4,6,1,1,3,6,1,1,3,2,16,49
76,3,1,4,3,4,1,1,4,3,2,1,1,4,3,19,53
76,2,1,4,2,4,1,1,1,3,2,1,1,3,1,9,68
76,7,1,4,4,4,4,1,2,3,2,1,1,2,5,19,40
76,3,1,8,2,4,1,1,1,3,1,1,1,1,3,8,74
76,19,1,7,3,3,1,1,2,3,3,1,1,4,1,20,53
76,3,1,4,4,4,1,1,1,3,2,1,1,3,3,2,41
